ip_mean,ip_std,ip_kurtosis,ip_skewness,dmsnr_mean,dmsnr_std,dmsnr_kurtosis,dmsnr_skewness,label
 102.50781,  58.88243,   0.46532,  -0.51509,   1.67726,  14.86015,  10.57649, 127.39358,   0
 142.07812,  45.28807,  -0.32033,   0.28395,   5.37625,  29.00990,   6.07627,  37.83139,   0
 138.17969,  51.52448,  -0.03185,   0.04680,   6.33027,  31.57635,   5.15594,  26.14331,   0
 114.36719,  51.94572,  -0.09450,  -0.28798,   2.73829,  17.19189,   9.05061,  96.61190,   0
  99.36719,  41.57220,   1.54720,   4.15411,  27.55518,  61.71902,   2.20881,   3.66268,   1
 112.71875,  50.30127,   0.27939,  -0.12901,   8.28177,  37.81001,   4.69183,  21.27621,   0
 138.46094,  48.91717,  -0.03959,  -0.17624,   2.44314,  18.31331,   8.67289,  83.06924,   0
 120.55469,  45.54991,   0.28292,   0.41991,   1.35870,  13.07903,  13.31214, 212.59703,   1
 134.03906,  51.80046,  -0.19584,  -0.39682,   1.10786,  13.23858,  13.77580, 208.42026,   0
 112.85938,  55.10625,   0.17477,  -0.40402,   3.03261,  19.69431,   7.26625,  58.03777,   0
  27.76562,  28.66604,   5.77009,  37.41901,  73.11288,  62.07022,   1.26821,   1.08292,   1
 143.08594,  49.92197,  -0.15756,  -0.15333,   3.56355,  21.28808,   7.33712,  59.16844,   0
 136.74219,  44.39124,  -0.22193,   0.90808,   2.10535,  14.49838,  10.13157, 128.39515,   0
  87.51562,  51.76343,   1.07059,   0.74284,  15.67809,  50.90592,   3.14119,   8.44005,   0
  23.62500,  29.94865,   5.68804,  35.98717, 146.56856,  82.39462,  -0.27490,  -1.12185,   1
  94.58594,  35.77982,   1.18731,   3.68747,   6.07107,  29.76040,   5.31877,  28.69805,   1
 123.46875,  45.47509,   0.34578,   0.64741,  32.91973,  65.09420,   1.60554,   0.87136,   1
  35.15625,  30.23771,   4.20347,  24.48669,  34.10117,  62.57740,   1.89002,   2.57213,   1
 112.41406,  45.63091,   0.30183,   0.68037,   1.75084,  16.92769,  11.57514, 143.40815,   0
  18.11719,  29.29767,   6.44671,  44.60159,  50.10786,  66.32183,   1.45642,   1.33518,   1
 162.47656,  43.37896,  -0.49595,   0.60808,   3.53846,  25.01456,   7.53567,  58.07478,   0
 117.37500,  58.53111,   0.22076,  -0.32197,   1.75167,  16.84121,  11.43726, 139.62323,   0
  44.86719,  45.69333,   2.88874,   8.81067, 176.11957,  59.73772,  -1.78538,   2.94091,   1
  26.92188,  34.51101,   4.70984,  24.24740, 183.62291,  79.93282,  -1.32665,   0.34671,   1
 107.40625,  58.50487,   0.10029,  -0.90006,  18.45903,  53.85715,   2.79421,   6.36179,   0
 128.66406,  55.19996,  -0.00734,  -0.83577,   3.57860,  19.69452,   7.13794,  59.25101,   0
 130.48438,  45.63322,   0.14151,   0.23117,   2.97241,  18.30926,   7.53247,  66.00796,   0
 106.79688,  43.12108,   0.43899,   0.86492,   2.91806,  17.46616,   8.04308,  78.42575,   0
  48.24219,  36.49203,   2.93556,  10.88875,  41.50418,  62.89781,   1.47249,   1.30527,   1
 128.33594,  50.20385,   0.09574,  -0.06594,   2.43144,  14.25348,   8.87542, 107.30587,   0
 123.50000,  47.78647,   0.03505,   0.20290,   6.02759,  27.80342,   5.43598,  31.26290,   0
 123.82031,  55.16416,   0.01680,  -0.92821,   4.07609,  22.25649,   6.71768,  50.20346,   0
 110.07031,  37.87380,   0.00243,   1.47149,   2.87625,  16.41640,   7.52680,  72.00045,   0
 110.19531,  54.47549,   0.48979,  -0.03192,  19.28010,  56.00214,   2.87549,   6.86189,   1
 111.21875,  44.39611,   0.32525,   0.46806,   2.38127,  14.42076,   9.39777, 115.82877,   0
  83.53125,  42.52167,   0.58176,   1.23080,   3.42809,  17.79643,   7.05044,  61.66259,   0
  11.82031,  37.25827,   5.34050,  28.65597, 146.72575,  75.39945,  -0.29078,  -1.21931,   1
  59.42969,  45.39250,   2.17595,   5.66002,  16.45903,  47.31948,   3.08453,   8.94026,   1
  88.25000,  39.04605,   0.57152,   1.47049,   4.65050,  25.66972,   6.21787,  40.98739,   0
  88.43750,  37.81178,   0.68922,   2.03529,   2.41555,  18.02795,   8.82861,  86.79989,   1
 138.34375,  52.88230,  -0.10617,  -0.26027,   2.87458,  16.79353,   8.82154,  96.79107,   0
 107.50781,  45.57463,   0.37771,   0.61466,   1.46906,  14.84271,  11.92975, 156.21734,   0
 118.72656,  40.55488,   0.32034,   0.89120,   3.72157,  23.10667,   7.15336,  55.73817,   0
 136.88281,  52.60312,  -0.23723,  -0.30604,   2.05184,  17.38529,  10.63261, 123.00408,   0
 120.86719,  51.95151,   0.30589,   0.03670,   1.79181,  14.59788,  12.00652, 167.62656,   0
 113.34375,  54.04865,   0.24128,  -0.31443,   2.71488,  16.05237,   8.57090,  92.52101,   0
  99.28906,  47.39135,   0.70200,   1.04219,   1.62709,  14.68008,  10.99141, 139.55090,   1
 127.18750,  46.43641,  -0.26180,   0.28215,   3.07358,  17.18295,   8.01944,  78.35187,   0
 128.42969,  57.05612,   0.02465,  -0.60884,   2.01839,  17.54172,  10.01713, 107.66016,   0
  20.35156,  25.77171,   7.02464,  56.11297,  70.51254,  65.47231,   1.10205,   0.78206,   1
 107.32812,  39.14658,   0.47460,   0.93194,   1.82609,  16.09825,  10.43606, 121.47048,   0
 137.07812,  52.71987,  -0.22936,  -0.11341,   3.07107,  19.50866,   7.67247,  65.99013,   0
 130.80469,  45.93611,  -0.02122,  -0.11859,   3.89381,  19.92241,   6.89546,  55.96095,   0
 105.50000,  41.84178,   0.41715,   0.86009,   2.08278,  19.14167,  10.14673, 107.62166,   1
  78.57812,  35.77395,   0.89044,   3.46375,   1.95234,  13.99392,  10.25333, 132.54479,   0
 131.27344,  50.45538,   0.02492,   0.19592,   1.49666,  15.69624,  11.97155, 156.12609,   0
 116.54688,  46.54196,   0.18442,   0.46001,   1.99080,  14.36606,  11.58574, 168.18678,   0
 107.00781,  46.76378,   0.36462,   0.12816,   2.60201,  20.59545,   8.63532,  77.80801,   0
 137.21875,  45.39065,   0.03499,   0.13441,   3.20401,  17.17786,   7.49459,  74.00310,   0
  93.77344,  41.88306,   0.37140,   1.29123,   1.48244,  12.95905,  12.24291, 180.15884,   0
  76.52344,  34.08720,   2.02427,   8.13177,   7.98328,  36.65736,   4.88889,  23.67535,   1
  67.66406,  32.56179,   2.02800,   8.09834,   8.26672,  34.83890,   4.79338,  24.03205,   1
 123.64062,  47.27624,  -0.17872,   0.01718,   2.19983,  18.14723,   9.81728, 106.35001,   0
 115.10156,  48.97398,   0.18171,  -0.05509,   2.51171,  16.36010,   9.07673,  98.37820,   0
 100.92188,  50.27186,   0.67476,   0.37549,   1.31271,  14.08880,  12.47315, 170.31636,   0
  42.57812,  46.63834,   2.84156,   7.83282,  12.97157,  38.49885,   3.79973,  14.99083,   1
  60.63281,  47.56474,   2.40128,   5.85827,  93.58696,  89.54226,   0.38389,  -1.31903,   1
  65.22656,  35.69690,   2.29189,  10.11848,  15.51505,  48.87243,   3.18537,   9.16404,   1
 125.23438,  37.32678,  -0.17109,   1.75955,   0.59532,  10.08617,  19.64138, 424.77217,   0
 137.67188,  52.63808,  -0.00674,  -0.48395,   1.91555,  15.44248,   9.68587, 108.75861,   0
  41.21094,  31.94665,   3.88752,  19.89781,  88.33361,  78.91145,   0.58846,  -0.80727,   1
  89.91406,  39.33888,   0.55759,   1.52393,   1.32776,  15.19289,  13.04817, 183.01108,   0
   8.22656,  32.55793,   5.89648,  35.28724, 184.52592,  62.91486,  -1.01926,   0.17696,   1
 120.42188,  47.22893,   0.20330,   0.18634,   1.60870,  14.96308,  12.23258, 168.90097,   0
  69.21094,  45.26617,   2.02429,   4.48509,   2.54682,  18.20123,   9.99759, 109.12231,   1
 100.25781,  47.57022,   0.47920,   0.87642,   5.20903,  31.04856,   6.07550,  36.24292,   1
  14.90625,  29.39054,   7.21066,  53.02647, 124.26171,  75.63748,  -0.11987,  -0.97297,   1
  40.78906,  30.65678,   5.11348,  32.75232,  55.21237,  78.39270,   1.16147,   0.00368,   1
  11.97656,  29.57762,   7.55092,  56.53775, 128.02007,  73.43147,  -0.12447,  -0.89923,   1
 124.03906,  53.62899,  -0.12547,  -0.48817,   6.13629,  26.68557,   4.89888,  25.68613,   0
  99.83594,  39.32433,   0.58586,   1.20863,   2.16973,  15.91723,   9.75099, 112.63394,   1
  81.82031,  35.39210,   1.01585,   3.73302,   2.54933,  21.18244,   8.80888,  79.95013,   0
  19.96094,  34.09646,   5.50491,  31.09988, 125.26421,  82.36350,  -0.14153,  -1.15079,   1
  37.66406,  39.51291,   3.49526,  13.13505,   7.78512,  27.56203,   5.01489,  29.18375,   1
 107.72656,  47.95648,   0.20632,  -0.37785,   2.29599,  15.41725,  10.18165, 125.54842,   0
  11.21875,  30.97351,   5.99236,  37.86874,  97.44565,  76.52753,   0.19154,  -1.02022,   1
 105.04688,  47.08550,   0.40803,   0.33175,   3.54097,  26.12981,   7.57852,  57.36771,   1
 103.14844,  39.96621,   0.10990,   0.92350,   6.01839,  29.11661,   5.22558,  28.06538,   0
  81.93750,  35.63109,   0.89647,   3.33186,   3.50502,  18.93019,   6.87713,  57.21235,   0
 163.42969,  43.74191,  -0.38195,   0.37433,   1.91388,  12.84934,  11.08969, 165.42447,   0
  31.50781,  50.32504,   3.40718,  10.56814,  50.03763,  62.76227,   1.50805,   1.45235,   1
  65.79688,  46.20511,   2.28909,   6.23528,  20.37207,  51.02207,   2.94169,   8.45718,   1
 134.38281,  50.27520,   0.29119,  -0.16310,   3.97826,  22.49882,   6.74244,  49.89296,   0
  95.99219,  37.45654,   0.46460,   2.15572,   0.95819,  12.08526,  15.61925, 274.31908,   1
 108.18750,  46.96820,   0.40537,   0.21733,  27.25418,  61.76918,   1.99153,   2.33317,   0
  41.37500,  39.76533,   3.80202,  16.05622,  23.66054,  55.42797,   2.45198,   5.16411,   1
  80.64062,  56.30882,   1.48101,   1.95214,  27.80769,  63.85545,   2.17975,   3.35489,   1
 117.92969,  50.02143,   0.14616,  -0.12060,   2.39799,  15.63934,  10.05323, 122.73557,   0
  42.02344,  33.02709,   3.66889,  19.64801,  87.90468,  86.47995,   0.25905,  -1.50434,   1
  53.78906,  30.06208,   3.23181,  18.01166,  30.67057,  67.75206,   1.97296,   2.33656,   1
 111.63281,  44.78488,   0.29808,   0.54027,   1.84197,  12.70646,  11.02937, 165.47237,   0
  46.17188,  36.15831,   3.29461,  13.59033,  14.00502,  43.68747,   3.42403,  11.56409,   1
  37.30469,  41.06579,   3.65373,  13.72233,  51.10619,  64.88992,   1.33857,   1.06030,   1
  84.74219,  40.00727,   1.36896,   3.81207,   5.73662,  32.04731,   5.97960,  36.14798,   1
  69.21094,  36.15238,   2.60262,  11.03299,  11.81355,  41.38266,   3.90266,  15.15192,   1
  91.82812,  34.11174,   1.44668,   5.26529,   3.74164,  25.31737,   7.23510,  53.58207,   1
  50.60938,  35.50203,   3.66724,  16.46997,  11.73579,  39.95799,   3.98231,  16.36455,   1
  23.73438,  31.60659,   5.48504,  31.87704,  32.78177,  57.90056,   2.02002,   3.61470,   1
  73.60156,  37.38928,   1.97830,   7.07654,   5.88127,  30.21748,   5.75860,  33.90978,   1
 103.27344,  50.10796,   0.39234,  -0.03610,   2.20318,  16.70864,   9.34454,  99.69197,   0
 136.17188,  48.92439,  -0.01947,   0.06323,   2.81020,  18.69523,   7.84858,  69.38898,   0
  35.07031,  39.30672,   4.52266,  21.06358,  27.60535,  61.69331,   2.01495,   2.49692,   1
  22.51562,  30.84132,   5.70181,  34.57423,  74.82692,  71.16992,   0.80309,  -0.13898,   1
  23.67188,  31.17769,   5.15729,  30.34661,  69.51087,  62.25602,   1.34674,   1.18128,   1
  47.48438,  36.88453,   3.29880,  12.12951,  24.38127,  55.06567,   2.49580,   5.59844,   1
  97.09375,  48.40542,   0.64922,   0.49131,   5.06355,  28.42815,   5.97969,  36.30007,   1
 124.85156,  44.87432,  -0.15805,   0.50692,   2.97408,  21.35498,   8.01656,  68.34168,   0
  12.20312,  31.21707,   5.92625,  36.85004,  98.86789,  77.91638,   0.15692,  -1.08105,   1
  80.14062,  34.42627,   1.69788,   6.21336,   7.82274,  38.34194,   5.04800,  24.80228,   1
